日付,終値(電気機器),終値(輸送用機器),終値(情報 - 通信業),終値(卸売業),終値(銀行業),終値(化学),終値(小売業)
2003-09-12,1711.84,1719.55,2128.25,600.51,194.91,849.85,605.84
2003-09-11,1687.76,1658.95,2097.3,593.11,190.32,835.44,598.98
2003-09-10,1738.92,1673.62,2151.71,599.67,194.15,852.86,611.44
2003-09-09,1752.4,1670.04,2153.86,599.02,190.95,856.98,616.25
2003-09-08,1713.52,1644.62,2107.64,587.48,187.86,847.7,605.64
2003-09-05,1696.79,1660.14,2139.77,581.83,184.19,844.79,604.33
2003-09-04,1701.15,1631.33,2177.4,585.01,189.07,843.7,604.71
2003-09-03,1734.14,1602.72,2196.94,584.68,193.02,852.48,610.49
2003-09-02,1728.88,1595.95,2206.02,584.04,188.16,853.64,606.22
2003-09-01,1721.97,1598.74,2215.2,580.07,183.51,858.78,604.27
2003-08-29,1669.12,1572.05,2156.93,565.03,179.69,837.71,585.9
2003-08-28,1636.54,1565.25,2159.02,559.52,178.53,823.65,579.59
2003-08-27,1637.21,1581.89,2198.62,565.77,176.66,828.87,583.23
2003-08-26,1638.04,1577.16,2209.95,569.75,174.61,827.54,578.33
2003-08-25,1631.04,1577.78,2185.03,558.39,172.65,825.89,578.22
2003-08-22,1634.83,1595.94,2202.27,564.04,174.49,830.46,588.1
2003-08-21,1652.73,1632.14,2221.57,570.76,175.51,840.49,569.63
2003-08-20,1651.24,1606.35,2172.78,572.09,172.4,836.79,561.3
2003-08-19,1641.76,1599.26,2150.95,562.59,170.03,822.14,547.23
2003-08-18,1604.45,1592.05,2065.34,554.31,167.37,810.16,549.23
2003-08-15,1580.29,1583.95,2056.02,543.86,163.22,796.46,559.04
2003-08-14,1580.29,1569.56,2081.18,544.6,162.76,795.56,567.0
2003-08-13,1554.62,1539.52,2050.72,534.36,159.51,789.15,560.96
2003-08-12,1526.88,1505.78,2011.54,525.34,155.65,774.98,552.05
2003-08-11,1521.2,1504.87,2008.74,518.45,152.29,770.22,545.21
2003-08-08,1500.2,1491.45,1983.96,513.78,150.42,758.18,535.32
2003-08-07,1491.24,1504.26,1937.86,507.97,151.24,760.32,534.33
2003-08-06,1509.74,1496.11,1984.46,520.53,153.26,759.75,540.32
2003-08-05,1527.53,1480.25,1954.09,519.39,156.66,762.8,541.83
2003-08-04,1542.23,1486.03,1981.9,528.12,159.0,773.25,550.07
2003-08-01,1572.26,1494.34,1987.4,531.65,160.37,777.59,557.26
2003-07-31,1557.64,1493.74,1989.28,527.1,158.69,777.02,560.83
2003-07-30,1570.77,1491.18,1991.18,532.08,160.77,778.8,560.47
2003-07-29,1616.15,1509.22,2033.24,539.5,162.45,788.73,568.19
2003-07-28,1606.9,1530.09,2036.03,543.2,162.25,791.05,569.89
2003-07-25,1571.4,1525.22,1980.14,530.17,161.85,779.5,562.92
2003-07-24,1570.14,1516.49,1971.49,525.56,161.85,779.24,565.82
2003-07-23,1562.19,1510.13,1957.7,526.01,158.81,778.58,566.28
2003-07-22,1532.18,1494.68,1935.0,516.58,156.82,773.93,568.34
2003-07-18,1531.64,1504.26,1983.83,511.89,159.55,773.46,573.93
2003-07-17,1535.64,1490.7,1965.2,507.7,160.12,770.65,574.86
2003-07-16,1594.51,1517.61,2002.15,521.6,163.67,782.56,588.04
2003-07-15,1598.01,1529.29,2042.6,521.85,162.52,788.23,591.22
2003-07-14,1579.76,1549.56,2035.77,527.86,160.81,787.17,590.51
2003-07-11,1539.97,1546.78,1997.44,522.72,161.48,775.68,588.29
2003-07-10,1603.81,1601.04,2102.13,539.91,165.19,791.89,613.13
2003-07-09,1627.93,1609.98,2138.0,543.3,166.32,790.39,617.56
2003-07-08,1643.48,1582.76,2163.5,536.33,168.07,777.23,593.07
2003-07-07,1620.83,1549.55,2084.84,521.34,169.82,777.52,580.85
