Date,Price,Open,High,Low,Vol.,Change %
2017-12-21,"1,822.61","1,819.50","1,823.39","1,813.41",1.45B,0.08%
2017-12-22,"1,829.08","1,823.47","1,830.13","1,823.01",1.49B,0.35%
2017-12-25,"1,831.93","1,830.79","1,832.30","1,826.61",1.06B,0.16%
2017-12-26,"1,827.01","1,831.14","1,833.28","1,825.93",1.09B,-0.27%
2017-12-27,"1,829.79","1,825.33","1,832.24","1,825.10",981.24M,0.15%
2017-12-28,"1,819.03","1,829.27","1,830.59","1,815.96",997.36M,-0.59%
2017-12-29,"1,817.56","1,822.24","1,826.17","1,816.85",889.15M,-0.08%
2018-01-04,"1,863.82","1,841.20","1,863.82","1,840.40",1.69B,2.55%
2018-01-05,"1,880.34","1,873.82","1,880.34","1,869.78",1.68B,0.89%
2018-01-09,"1,889.29","1,895.08","1,895.26","1,883.10",1.66B,0.48%
2018-01-10,"1,892.11","1,888.83","1,894.57","1,888.30",1.59B,0.15%
2018-01-11,"1,888.09","1,882.71","1,888.09","1,877.65",1.58B,-0.21%
2018-01-12,"1,876.24","1,886.48","1,886.48","1,872.86",1.70B,-0.63%
2018-01-15,"1,883.90","1,888.63","1,892.00","1,882.78",1.42B,0.41%
2018-01-16,"1,894.25","1,883.87","1,894.29","1,882.21",1.32B,0.55%
2018-01-17,"1,890.82","1,883.92","1,892.12","1,882.30",1.54B,-0.18%
2018-01-18,"1,876.86","1,906.39","1,906.39","1,874.78",1.82B,-0.74%
2018-01-19,"1,889.74","1,885.15","1,890.41","1,882.26",1.39B,0.69%
2018-01-22,"1,891.92","1,890.78","1,891.92","1,884.63",1.34B,0.12%
2018-01-23,"1,911.07","1,900.26","1,911.31","1,898.57",1.42B,1.01%
2018-01-24,"1,901.23","1,904.83","1,908.54","1,898.34",1.52B,-0.51%
2018-01-25,"1,884.56","1,887.59","1,893.15","1,882.57",1.56B,-0.88%
2018-01-26,"1,879.39","1,889.46","1,892.46","1,878.89",1.53B,-0.27%
2018-01-29,"1,880.45","1,881.38","1,889.11","1,877.70",1.33B,0.06%
2018-01-30,"1,858.13","1,878.73","1,879.34","1,853.05",1.70B,-1.19%
2018-01-31,"1,836.71","1,850.19","1,859.62","1,836.68",1.82B,-1.15%
2018-02-01,"1,870.44","1,849.53","1,870.94","1,847.01",1.82B,1.84%
2018-02-02,"1,864.20","1,863.82","1,867.88","1,848.83",1.70B,-0.33%
